OUT	Reads	TubeNo
k__Bacteria	1372750	SW1007
k__Bacteria|p__Proteobacteria	1139370	SW1007
k__Bacteria|p__Firmicutes	228422	SW1007
k__Bacteria|p__Actinobacteria	4958	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1129854	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli	228422	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9516	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4958	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1119605	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	228422	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	8979	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	7222	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	3027	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3231	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	931	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	520	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	537	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	276	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	1058674	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	167365	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	36524	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	24533	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	45554	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	8979	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	9701	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	7222	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	5676	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	3027	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	3231	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	931	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	520	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	537	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	276	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus	1007412	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	167365	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus	36493	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia	51262	SW1007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	24533	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	33865	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	8979	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea	9701	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kosakonia	9122	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	7119	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia	5676	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter	3027	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia	3231	SW1007
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	2567	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	931	SW1007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	520	SW1007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Mesorhizobium	537	SW1007
