TubeNumber,BirdID,SampleDate,Qubit,Island.x,SumVeg_X_Inverts,TQ,TQcorrected,BirthDate,BirthYear,Lifespan,ReproductiveOutput,SexEstimate,CatchTime,season,Sequenced,survive,SamplingAge,Timeinfridge,SampleLeft,SampleType,TerminalYear,LatestEligibleDate,nage,FPID,pop_died,Froh_imp,SequencingRun,mean_TQ_FPID,meancentredTQ,Type,deathdate,SampleYear,YFD,TubeNo,AgeGroup
SW27,6261,2017-07-22,0.0632,CN,27.93,25475.7,25475.7,2014-07-28,2014,7.6,2,1,190,major,1,1,3,60,N,F,0,2022-03-18,0.39473684210526316,major_2017,0.09003215434083602,0.103362908,1,57447.427596153844,-31971.727596153843,F,2022-03-18,2017,4.7,SW27,B
SW39,6554,2017-07-31,0.0342,CN,19.56,43152.92,43152.92,2015-09-26,2015,NA,2,0,638,major,1,1,1.8,51,Y,F,0,NA,NA,major_2017,0.09003215434083602,0.100920607,1,57447.427596153844,-14294.507596153846,F,NA,2017,NA,SW39,A
SW57,6738,2017-08-17,0.102,CN,27.83,78304.71,78304.71,2017-06-23,2017,NA,NA,0,630,major,1,1,0.2,34,N,F,0,NA,NA,major_2017,0.09003215434083602,NA,1,57447.427596153844,20857.282403846162,F,NA,2017,NA,SW57,A
SW65,6676,2017-08-22,0.078,CN,24.05,39351.16,39351.16,2016-07-14,2016,6.7,NA,1,649,major,1,1,1.1,29,N,F,0,2023-03-27,0.16417910447761194,major_2017,0.09003215434083602,0.132793312,1,57447.427596153844,-18096.26759615384,F,2023-03-27,2017,5.6,SW65,A
SW72,6765,2017-08-29,0.0888,CN,13.9,25958.57,25958.57,2017-07-05,2017,NA,NA,0,305,major,1,1,0.2,22,N,F,0,NA,NA,major_2017,0.09003215434083602,0.167459311,1,57447.427596153844,-31488.857596153844,F,NA,2017,NA,SW72,A
SW84,5595,2017-08-23,0.144,CN,21.96,38928.6,38928.6,2011-03-01,2011,8,2,1,201,major,1,1,6.5,28,N,F,0,2019-03-09,0.8125,major_2017,0.09003215434083602,0.067964585,1,57447.427596153844,-18518.827596153846,F,2019-03-09,2017,1.5,SW84,D
SW94,6211,2017-09-02,0.476,CN,32.79,68848.73,68848.73,2014-05-11,2014,NA,3,0,225,major,1,1,3.3,18,N,F,0,NA,NA,major_2017,0.09003215434083602,0.06580473,1,57447.427596153844,11401.302403846152,F,NA,2017,NA,SW94,B
SW98,5624,2017-09-07,0.0512,CN,26.08,64756.95,64756.95,2011-04-21,2011,10.5,3,1,276,major,1,1,6.4,13,N,F,0,2021-09-30,0.6095238095238096,major_2017,0.09003215434083602,0.158424175,1,57447.427596153844,7309.522403846153,F,2021-09-30,2017,4.1,SW98,D
SW109,6061,2017-09-10,0.0936,CN,18.33,41968.89,41968.89,2013-01-30,2013,5.7,5,0,120,major,1,1,4.6,10,N,F,0,2018-09-30,0.8070175438596491,major_2017,0.09003215434083602,0.161657359,1,57447.427596153844,-15478.537596153845,F,2018-09-30,2017,1.1,SW109,C
SW134,5545,2017-09-13,0.656,CN,10.69,32073.94,32073.94,2010-08-03,2010,12.1,5,0,375,major,1,1,7.1,7,Y,F,0,2022-09-14,0.5867768595041322,major_2017,0.09003215434083602,0.122399102,1,57447.427596153844,-25373.487596153846,F,2022-09-14,2017,5,SW134,D
SW136,6381,2018-02-22,0.141,CN,11.95,25429.07,25429.07,2015-08-25,2015,8.1,NA,1,270,minor,1,1,2.5,20,N,F,0,2023-10-09,0.308641975308642,minor_2018,0.05825242718446602,0.216520676,1,41565.9888425926,-16136.918842592597,F,2023-10-09,2018,5.6,SW136,B
SW146,6191,2018-02-24,0.106,CN,17.81,34091.35,34091.35,2014-07-23,2014,NA,2,0,317,minor,1,1,3.6,18,N,F,0,NA,NA,minor_2018,0.05825242718446602,0.152350041,1,41565.9888425926,-7474.638842592598,F,NA,2018,NA,SW146,B
SW149,6009,2018-02-28,0.0588,CN,8.24,15375.92,15375.92,2013-02-26,2013,NA,3,0,184,minor,1,1,5,14,Y,F,0,NA,NA,minor_2018,0.05825242718446602,0.106397225,1,41565.9888425926,-26190.0688425926,F,NA,2018,NA,SW149,C
SW167,5635,2018-03-08,0.0732,CN,18.48,59331.8,59331.8,2010-12-16,2010,9.3,7,0,367,minor,1,1,7.2,6,S,F,0,2020-03-16,0.7741935483870968,minor_2018,0.05825242718446602,0.18023167,1,41565.9888425926,17765.811157407406,F,2020-03-16,2018,2,SW167,D
SW169,6737,2018-03-03,0.0632,CN,16.47,40708.94,40708.94,2016-08-16,2016,5.1,1,0,673,minor,1,1,1.5,11,Y,F,0,2021-09-30,0.29411764705882354,minor_2018,0.05825242718446602,0.135036745,1,41565.9888425926,-857.0488425925942,F,2021-09-30,2018,3.6,SW169,A
SW193,5657,2018-07-07,0.145,CN,3.51,8842,8842,2011-08-23,2011,10.1,7,0,458,major,1,1,6.9,77,Y,F,0,2021-09-30,0.6831683168316832,major_2018,0.10497237569060773,0.100611769,1,10992.481296296297,-2150.481296296297,F,2021-09-30,2018,3.2,SW193,D
SW197,1762,2018-07-07,0.101,CN,3.51,8842,8842,2002-10-10,2002,17.4,11,1,294,major,1,1,15.7,77,S,F,0,2020-03-16,0.9022988505747127,major_2018,0.10497237569060773,0.120737605,1,10992.481296296297,-2150.481296296297,F,2020-03-16,2018,1.7,SW197,G
