Genes	Taxa
15365024	COG2801
11047026	COG2801
3143766	COG2801
16040279	COG2801
3825528	COG2801
4038940	COG2801
18364539	COG2801
11611139	COG2801
4945975	COG2801
8491969	COG2801
395451	COG2801
11239863	COG2801
7072737	COG2801
4133427	COG2801
3505951	COG2801
3163505	COG2801
1671440	COG2801
9212700	COG2801
17324609	COG2801
15490241	COG2801
9748673	COG2801
11164029	COG2801
10256056	COG2801
7000058	COG2801
9941249	COG2801
8826025	COG2801
18081296	COG2801
7388098	COG2801
11878911	COG2801
17387250	COG2801
13707838	COG2801
12371847	COG2801
1328997	COG2801
16916282	COG2801
17324579	COG2801
11164101	COG2801
9910406	COG2801
8021831	COG2801
5800240	COG2801
11878923	COG2801
18601690	COG2801
8735373	COG2801
873893	COG2801
6310587	COG2801
12400418	COG2801
7597010	COG2801
9769799	COG2801
9212829	COG2801
5845748	COG2801
7531937	COG2801
9769832	COG2801
17189238	COG2801
7388102	COG2801
12113246	COG2801
5845795	COG2801
9941297	COG2801
873884	COG2801
2359413	COG2801
305217	COG2801
7000205	COG2801
12113185	COG2801
18601588	COG2801
13499276	COG2801
18668269	COG2801
9769820	COG2801
9748822	COG2801
1262934	COG2801
10992734	COG2801
873891	COG2801
18668208	COG2801
7969525	COG2801
5845754	COG2801
17189142	COG2801
10399583	COG2801
17178615	COG2801
2282055	COG2801
18748267	COG2801
12400368	COG2801
9212768	COG2801
5537007	COG2801
17386965	COG2801
2255450	COG2801
14712266	COG2801
14819333	COG2801
16486521	COG2801
18965338	COG2801
4083498	COG2801
2526635	COG2801
15778406	COG2801
4200456	COG2801
13984374	COG2801
17092796	COG2801
2526605	COG2801
2255516	COG2801
12824021	COG2801
13984412	COG2801
15063324	COG2801
7427640	COG2801
13984422	COG2801
2526368	COG2801
3822555	COG2801
14646598	COG2801
5142597	COG2801
3276591	COG2801
17220729	COG2801
10991286	COG2801
15656666	COG2801
14629795	COG2801
7557146	COG2801
14629958	COG2801
5566890	COG2801
3276402	COG2801
9510579	COG2801
5620593	COG2801
11130987	COG2801
7139912	COG2801
4235759	COG2801
4200681	COG2801
12898072	COG2801
15512907	COG2801
1251146	COG2801
14769312	COG2801
6536234	COG2801
18820553	COG2801
6095405	COG2801
3786396	COG2801
11315226	COG2801
1251070	COG2801
493088	COG2801
13288417	COG2801
4105832	COG2801
13072376	COG2801
7340733	COG2801
5818930	COG2801
1300496	COG2801
688257	COG2801
115000	COG2801
262433	COG2801
262461	COG2801
8027591	COG2801
11761407	COG2801
16769208	COG2801
19033007	COG2801
3604223	COG2801
11783129	COG2801
11242544	COG2801
6764091	COG2801
18294999	COG2801
15792148	COG2801
9495684	COG2801
14666362	COG2801
11553395	COG2801
12087785	COG2801
13323484	COG2801
65246	COG2801
2638731	COG2801
18459103	COG2801
11490474	COG2801
17875071	COG2801
4847489	COG2801
5630998	COG2801
6764591	COG2801
10251734	COG2801
213776	COG2801
11175993	COG2801
19293447	COG2801
18751058	COG2801
107794	COG2801
4521952	COG2801
12869007	COG2801
563031	COG2801
6949322	COG2801
13534319	COG2801
19051871	COG2801
12677943	COG2801
14666210	COG2801
11490080	COG2801
16494988	COG2801
11242032	COG2801
8415744	COG2801
14417660	COG2801
5297693	COG2801
9932455	COG2801
11175923	COG2801
16769188	COG2801
14784303	COG2801
7871778	COG2801
12966676	COG2801
65051	COG2801
6764287	COG2801
11000724	COG2801
10251665	COG2801
14084121	COG2801
17504541	COG2801
12677599	COG2801
2486972	COG2801
10481641	COG2801
3604609	COG2801
12354025	COG2801
14285193	COG2801
3032854	COG2801
4660485	COG2801
12760219	COG2801
10554923	COG2801
6418843	COG2801
12869036	COG2801
10284006	COG2801
12354228	COG2801
13558267	COG2801
11783124	COG2801
11107001	COG2801
3032557	COG2801
14008760	COG2801
5266489	COG2801
19180643	COG2801
13370703	COG2801
3032295	COG2801
65414	COG2801
18633929	COG2801
1406229	COG2801
7858092	COG2801
4695944	COG2801
16999511	COG2801
9495921	COG2801
18031698	COG2801
8568650	COG2801
6978339	COG2801
14563901	COG2801
8568502	COG2801
14369708	COG2801
15792016	COG2801
11490304	COG2801
16769808	COG2801
10481729	COG2801
18241266	COG2801
2662782	COG2801
6764412	COG2801
13266956	COG2801
65451	COG2801
19293729	COG2801
2218815	COG2801
11803125	COG2801
2486899	COG2801
107412	COG2801
17967386	COG2801
4563832	COG2801
1675435	COG2801
14276641	COG2801
12966650	COG2801
13904168	COG2801
14513124	COG2801
12087769	COG2801
4660607	COG2801
3117513	COG2801
6512868	COG2801
6764572	COG2801
1165351	COG2801
12677253	COG2801
11490067	COG2801
813012	COG2801
418451	COG2801
18093184	COG2801
9139440	COG2801
15126312	COG2801
14369692	COG2801
18633519	COG2801
4613747	COG2801
8335851	COG2801
17000645	COG2801
12966819	COG2801
6512993	COG2801
15907706	COG2801
65122	COG2801
17967813	COG2801
19293488	COG2801
11242015	COG2801
5266119	COG2801
16769669	COG2801
10251688	COG2801
1406807	COG2801
9029346	COG2801
4660449	COG2801
2486816	COG2801
13229140	COG2801
8415512	COG2801
4000455	COG2801
11516700	COG2801
10251719	COG2801
16123367	COG2801
12034499	COG2801
8415495	COG2801
6978629	COG2801
5346559	COG2801
16381489	COG2801
14276444	COG2801
14276587	COG2801
14533519	COG2801
14952020	COG2801
